완독일,구분,도서제목,저자,출판사,링크
2023년 6월 22일,경제경영,굿 피드백,"김미애, 김선영, 김의철, 박민희, 박세희, 방성환, 안상희, 이경훈, 주민관, 최원설",플랜비디자인,https://www.yes24.com/Product/Goods/107525281
2023년 6월 21일,인문,운의 심리학,유민지,쌤앤파커스,https://www.yes24.com/Product/Goods/116417422
2023년 6월 20일,경제경영,일터의 설계자들,나하나,웨일북,https://www.yes24.com/Product/Goods/116997993
2023년 6월 19일,인문,이어령의 마지막 수업,"김지수, 이어령",열림원,https://www.yes24.com/Product/Goods/104692009
2023년 6월 15일,경제경영,최고의 팀은 무엇이 다른가,대니얼 코일,웅진지식하우스,https://www.yes24.com/Product/Goods/115534893
2023년 6월 12일,경제경영,리크루터의 채용 실무 가이드,"박하늘, 전민아",루비페이퍼,https://www.yes24.com/Product/Goods/119124619
2023년 6월 8일,경제경영,성취예측모형,최동석,클라우드나인,https://www.yes24.com/Product/Goods/105747247
2023년 6월 5일,경제경영,그 회사는 직원을 설레게 한다,대이널 케이블,갈매나무,https://www.yes24.com/Product/Goods/86552437
2023년 6월 2일,인문,반항의 기술,러비 아자이 존스,온워드,https://www.yes24.com/Product/Goods/115587922
2023년 5월 31일,경제경영,실리콘밸리의 팀장들,킴 스콧,청림출판,https://www.yes24.com/Product/Goods/74259979
2023년 5월 26일,인문,상사 때문에 퇴사하고 싶은 너에게,메리 아바제이,위즈덤하우스,https://www.yes24.com/Product/Goods/118164543
2023년 5월 25일,경제경영,컬처덱,박창선,에이엠,https://www.yes24.com/Product/Goods/116413469
2023년 5월 24일,인문,인지심리학은 처음이지?,"김경일, 이윤형, 김태훈",북멘토,https://www.yes24.com/Product/Goods/107091029
2023년 5월 22일,경제경영,규칙 없음,"리드 헤이스팅스, 에린 마이어",알에이치코리아,https://www.yes24.com/Product/Goods/92275597
2023년 5월 17일,인문,게으른 완벽주의자를 위한 심리학,헤이든 핀치,시크릿하우스,https://www.yes24.com/Product/Goods/111683237
2023년 5월 16일,인문,하버드 인생학 특강,"클레이튼 크리스텐슨, 제임스 올워스, 캐런 딜론",알에이치코리아,https://www.yes24.com/Product/Goods/89240108
2023년 5월 15일,경제경영,구글의 아침은 자유가 시작된다,라즐로 복,알에이치코리아,https://www.yes24.com/Product/Goods/103167534
2023년 5월 13일,인문,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드,다산초당,https://www.yes24.com/Product/Goods/108850617
2023년 5월 12일,인문,콰이어트,수전 케인,알에이치코리아,https://www.yes24.com/Product/Goods/99122827
2023년 5월 11일,인문,나만을 위한 레이 달리오의 원칙,레이 달리오,한빛비즈,https://www.yes24.com/Product/Goods/115381618
2023년 5월 10일,경제경영,두려움 없는 조직,에이미 에드먼드슨,다산북스,https://www.yes24.com/Product/Goods/79633189
2023년 5월 9일,인문,아웃퍼포머,모튼 한센,김영사,https://www.yes24.com/Product/Goods/84256747
2023년 5월 3일,인문,원씽,"게리 켈러, 제이 파파산",비즈니스북스,https://www.yes24.com/Product/Goods/9349031
2023년 5월 2일,인문,그릿,앤절라 더크워스,비즈니스북스,https://www.yes24.com/Product/Goods/69622442
2023년 5월 1일,사회과학,공정하다는 착각,마이클 샌델,와이즈베리,https://www.yes24.com/Product/Goods/94489333
2023년 4월 28일,경제경영,무엇이 최고의 조직을 만드는가,한근태,미래의창,https://www.yes24.com/Product/Goods/110650072
2023년 4월 27일,인문,아주 세속적인 지혜,발타자르 그라시안,페이지2,https://www.yes24.com/Product/Goods/117933045
2023년 4월 26일,경제경영,모두가 플레이어,"정보미, 전수정, 이치영, 이종찬, 이재하, 우시혁, 오준엽, 서인수, 노유진, 김종원, 김문경",플랜비디자인,https://www.yes24.com/Product/Goods/117604335
2023년 4월 24일,경제경영,팀장의 끗,"고태현, 김은주, 안나은, 이상현, 이정희, 한길화, 한숙기",파티즈,https://www.yes24.com/Product/Goods/117520692
2023년 4월 22일,경제경영,알고 있다는 착각,질리언 테트,어크로스,https://www.yes24.com/Product/Goods/111377677
2023년 4월 20일,인문,마지막 몰입,짐 퀵,비즈니스북스,https://www.yes24.com/Product/Goods/97522081
2023년 4월 18일,경제경영,공정한 보상,신재용,홍문사,https://www.yes24.com/Product/Goods/105385421
2023년 4월 17일,경제경영,인사이드 아웃,강성춘,21세기북스,https://www.yes24.com/Product/Goods/88921903
2023년 4월 15일,경제경영,"그래서, 인터널브랜딩",최지훈,플랜비디자인,https://www.yes24.com/Product/Goods/76605064
2023년 4월 14일,인문,회복탄력성,김주환,위즈덤하우스,https://www.yes24.com/Product/Goods/71743513
2023년 4월 12일,경제경영,레버리지,롭 무어,다산북스,https://www.yes24.com/Product/Goods/117389523
2023년 4월 11일,인문,도파민네이션,애나 렘키,흐름출판,https://www.yes24.com/Product/Goods/108389546
2023년 4월 10일,인문,"일하기 전, 일하는 중, 일하고 난 후",류랑도,쌤앤파커스,https://www.yes24.com/Product/Goods/117591464
2023년 4월 9일,경제경영,피플 애널리틱스,"조나단 페라, 데이비드 그린",플랜비디자인,https://www.yes24.com/Product/Goods/112631699
2023년 4월 7일,경제경영,적소적재,"유규창, 이혜정",플랜비디자인,https://www.yes24.com/Product/Goods/105644494
2023년 4월 5일,경제경영,인재집착경영,한준기,쏭북스,https://www.yes24.com/Product/Goods/112603760
2023년 4월 4일,경제경영,면접관을 위한 면접의 기술,"한근태, 백진기, 유재경, 조지영",미래의창,https://www.yes24.com/Product/Goods/102226753
2023년 3월 31일,경제경영,데이터로 보는 인사 이야기,"이중학, 스티븐 킴",플랜비디자인,https://www.yes24.com/Product/Goods/103170198
2023년 3월 29일,컴퓨터,IT 5분 잡학사전,"니꼴라스, 배지현",이지스퍼블리싱,https://www.yes24.com/Product/Goods/113463430
2023년 3월 27일,경제경영,최강의 조직,벤 호로위츠,한국경제신문사,https://www.yes24.com/Product/Goods/99401064
2023년 3월 21일,경제경영,채용 All in One,이호석,중앙경제사,https://www.yes24.com/Product/Goods/102187704
2023년 3월 20일,경제경영,조직문화 통찰,김성준,클라우드나인,https://www.yes24.com/Product/Goods/78590902
2023년 3월 16일,경제경영,무엇이 성과를 이끄는가,"닐 도쉬, 린지 맥그리거",생각지도,https://www.yes24.com/Product/Goods/104069887
2023년 3월 9일,경제경영,OKR,존 도어,세종서적,https://www.yes24.com/Product/Goods/70981291
2023년 3월 3일,경제경영,원온원,백종화,플랜비디자인,https://www.yes24.com/Product/Goods/107905667
2023년 2월 22일,경제경영,조직을 민첩하고 유연하게 바꾸는 애자일 전략,"대럴 릭비, 사라 엘크, 스티브 베레즈",알에이치코리아,https://www.yes24.com/Product/Goods/101986198
2023년 2월 21일,경제경영,일의 격,신수정,턴어라운드,https://www.yes24.com/Product/Goods/102485494
2023년 2월 6일,인문,당신의 뇌는 최적화를 원한다,가바사와 시온,쌤앤파커스,https://www.yes24.com/Product/Goods/61155999
2023년 1월 27일,인문,역행자,자청,웅진지식하우스,https://www.yes24.com/Product/Goods/109705390
